run_id,epsilon,mechanism,tpr_mia,inversion_rouge_l_mean,probe_rouge_l_mean,bert_precision,bert_recall,bert_f1
4,0.1,Local,0.0017142857142857142,0.21012455678685982,0.09142321506782031,0.8315842151641846,0.8300400376319885,0.8307011127471924
4,0.1,Metric,0.0,0.2397985525450686,0.033266038472045956,0.8429049253463745,0.8429239392280579,0.8428175449371338
4,1.0,Central,0.0,0.20967069816034203,0.03168902353370714,0.8319193720817566,0.8304087519645691,0.8310534954071045
4,1.0,Local,0.0005714285714285715,0.20443902951932835,0.09028879499018373,0.8318056464195251,0.8302950859069824,0.8309341669082642
4,1.0,Metric,0.0,0.2665327951673024,0.04271315707220338,0.8496569991111755,0.8501014113426208,0.8497846722602844
4,5.0,Central,0.0,0.20877871822002436,0.03333164998370038,0.8330214619636536,0.8312485814094543,0.8320193886756897
4,5.0,Local,0.002857142857142857,0.20859694807218493,0.09275946908820734,0.831529438495636,0.8304592370986938,0.8308543562889099
4,5.0,Metric,0.0034285714285714284,0.6059858608479051,0.07985670732290792,0.9138128757476807,0.9144410490989685,0.9140689373016357
4,10.0,Central,0.0,0.20673374221634475,0.03281588106868431,0.8332015872001648,0.8318919539451599,0.8324330449104309
4,10.0,Local,0.002857142857142857,0.20751494234068846,0.08836136482659813,0.8319072127342224,0.8304381966590881,0.831058919429779
4,10.0,Metric,0.0017142857142857142,0.9374982777355233,0.0911626285773402,0.9914529919624329,0.9914108514785767,0.9914270639419556
